Sport,Age,Male,Female
Baseball,"(18, 32)","(48, 56)","(52, 57)"
Basketball,"(18, 30)","(40, 60)","(43, 60)"
Cycling,"(18, 26)","(62, 74)","(47, 57)"
Canoeing,"(22, 28)","(55, 67)","(48, 52)"
Gymnastics,"(18, 22)","(52, 58)","(35, 50)"
Orienteering,"(20, 60)","(47, 53)","(46, 60)"
Rowing,"(20, 35)","(60, 72)","(58, 65)"
Skiing Alpine,"(18, 30)","(57, 68)","(50, 55)"
Skiing Nordic,"(20, 28)","(65, 94)","(60, 75)"
Soccer,"(22, 28)","(54, 64)","(50, 60)"
Speed skating,"(18, 24)","(56, 73)","(44, 55)"
Swimming,"(10, 25)","(50, 70)","(40, 60)"
Track & Field - Running,"(18, 39)","(60, 85)","(50, 75)"
Track & Field - Running,"(40, 75)","(40, 60)","(35, 60)"
