vo2max,gender,age,age_low,age_high
82.85,0.0,16.0,10.0,19.0
38.6,0.0,14.0,10.0,19.0
36.6,0.0,13.0,10.0,19.0
39.29,1.0,13.0,10.0,19.0
33.9,0.0,37.0,30.0,39.0
33.69,1.0,14.0,10.0,19.0
37.93,0.0,18.0,10.0,19.0
49.4,1.0,16.0,10.0,19.0
44.2,1.0,40.0,40.0,49.0
36.08,0.0,37.0,30.0,39.0
32.6,0.0,17.0,10.0,19.0
43.33,1.0,21.0,20.0,29.0
36.33,1.0,15.0,10.0,19.0
39.27,1.0,14.0,10.0,19.0
35.4,1.0,12.0,10.0,19.0
41.6,0.0,15.0,10.0,19.0
39.38,0.0,16.0,10.0,19.0
26.6,0.0,37.0,30.0,39.0
42.64,1.0,17.0,10.0,19.0
45.5,1.0,25.0,20.0,29.0
31.21,1.0,15.0,10.0,19.0
27.18,0.0,15.0,10.0,19.0
42.28,1.0,26.0,20.0,29.0
39.8,1.0,15.0,10.0,19.0
39.2,0.0,14.0,10.0,19.0
43.14,0.0,25.0,20.0,29.0
37.84,0.0,14.0,10.0,19.0
41.27,0.0,23.0,20.0,29.0
40.12,1.0,17.0,10.0,19.0
52.76,1.0,13.0,10.0,19.0
45.2,1.0,26.0,20.0,29.0
31.91,1.0,20.0,20.0,29.0
29.7,0.0,14.0,10.0,19.0
37.91,0.0,38.0,30.0,39.0
29.97,1.0,12.0,10.0,19.0
33.78,0.0,37.0,30.0,39.0
96.2,1.0,36.0,30.0,39.0
27.4,0.0,20.0,20.0,29.0
48.14,1.0,19.0,10.0,19.0
28.42,0.0,31.0,30.0,39.0
37.85,0.0,13.0,10.0,19.0
43.7,1.0,13.0,10.0,19.0
50.38,1.0,16.0,10.0,19.0
43.71,1.0,12.0,10.0,19.0
34.04,1.0,15.0,10.0,19.0
35.7,0.0,20.0,20.0,29.0
41.28,0.0,18.0,10.0,19.0
51.83,1.0,13.0,10.0,19.0
39.24,1.0,15.0,10.0,19.0
33.24,0.0,14.0,10.0,19.0
39.53,0.0,18.0,10.0,19.0
31.22,0.0,18.0,10.0,19.0
43.1,1.0,40.0,40.0,49.0
27.15,0.0,29.0,20.0,29.0
49.18,1.0,16.0,10.0,19.0
34.8,0.0,14.0,10.0,19.0
48.89,1.0,17.0,10.0,19.0
41.17,0.0,16.0,10.0,19.0
45.6,0.0,13.0,10.0,19.0
